"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexpressed"
"BIOCARTA_IL1R_PATHWAY","Il1r pathway","1/29","18/747",0.513796468278497,0.591644418017663,0.573616471762277,"MAP2K6",1,0.227939228563198,"DOWN"
"BIOCARTA_IL1R_PATHWAY","Il1r pathway","9/97","18/747",0.000131574763667784,0.0111838549117617,0.010664480844652,"TGFB2/IL1R1/IL1A/IRAK2/MYD88/NFKB1/MAP3K1/IL6/NFKBIA",9,1.9514084756676,"UP"
