,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,ENTREZID,diffexpressed
ENSG00000151062,7.820735939,-1.054906368,0.464480761,-2.271151913,0.023137783,0.048372479,CACNA2D4,93589,DOWN
ENSG00000122786,7871.371964,1.105889811,0.025215223,43.85802242,0,0,CALD1,800,UP
ENSG00000164451,3.746506898,-4.096215769,0.958526238,-4.273451898,1.9247E-05,5.89194E-05,CALHM4,221301,DOWN
ENSG00000188820,6.457132249,3.730756514,0.606540248,6.150880381,7.7054E-10,3.14167E-09,CALHM6,441168,UP
ENSG00000058404,24.54188339,-1.561335457,0.265677893,-5.876798541,4.18277E-09,1.64845E-08,CAMK2B,816,DOWN
ENSG00000163888,4.068275955,1.487109544,0.496578997,2.994708907,0.002747069,0.006699884,CAMK2N2,94032,UP
ENSG00000137225,42.39583659,-2.133125264,0.239870588,-8.892817088,5.95788E-19,3.58948E-18,CAPN11,11131,DOWN
ENSG00000182472,7.498316375,1.273949848,0.41012901,3.10621735,0.001894974,0.004726719,CAPN12,147968,UP
ENSG00000162909,12932.83691,-1.325171206,0.021095261,-62.81843079,0,0,CAPN2,824,DOWN
ENSG00000105519,103.5521247,-1.268739361,0.131695767,-9.633865879,5.75237E-22,3.82395E-21,CAPS,828,DOWN
ENSG00000180881,10.70550182,-1.888455592,0.405983302,-4.65155976,3.29434E-06,1.07232E-05,CAPS2,84698,DOWN
ENSG00000100065,1200.121724,-1.307279988,0.039314288,-33.25203225,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190781486836393,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121354509645607,CARD10,29775,DOWN
ENSG00000198286,1455.0166,1.337080683,0.040063085,33.37438187,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000322716641845945,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209225000849518,CARD11,84433,UP
ENSG00000141527,13.73642298,-1.253491929,0.316345886,-3.962409452,7.41972E-05,0.000215638,CARD14,79092,DOWN
ENSG00000138380,65.2228152,-1.071322567,0.156244665,-6.856698563,7.04701E-12,3.19628E-11,CARF,79800,DOWN
ENSG00000079691,325.841005,-2.309149298,0.085790723,-26.91607218,1.4243E-159,5.4038E-158,CARMIL1,55604,DOWN
ENSG00000257859,11.63133763,-1.661538896,0.375757728,-4.421835596,9.78659E-06,3.06589E-05,CASC18,101929110,DOWN
ENSG00000246228,7.022892725,-2.676787056,0.621073105,-4.309938773,1.633E-05,5.02636E-05,CASC8,727677,DOWN
ENSG00000167971,17.58557739,-1.7968512,0.309350598,-5.808462027,6.30493E-09,2.45609E-08,CASKIN1,57524,DOWN
ENSG00000137752,335.1848021,2.10805053,0.093805707,22.47251889,7.7093E-112,1.9584E-110,CASP1,834,UP
ENSG00000064012,184.975238,-1.022559344,0.10053294,-10.17138604,2.66095E-24,1.88124E-23,CASP8,841,DOWN
ENSG00000130940,134.2370453,1.183065282,0.104974217,11.27005575,1.84453E-29,1.5036E-28,CASZ1,54897,UP
ENSG00000179397,13.22453915,-2.285554359,0.40011672,-5.712219076,1.11512E-08,4.28736E-08,CATSPERE,257044,DOWN
ENSG00000105974,30935.53855,-1.334139967,0.016216689,-82.26956427,0,0,CAV1,857,DOWN
ENSG00000168497,5069.805897,-1.448423768,0.02580591,-56.12759971,0,0,CAVIN2,8436,DOWN
ENSG00000141668,27.77809318,2.81588104,0.274683109,10.25138038,1.16665E-24,8.32281E-24,CBLN2,147381,UP
ENSG00000159231,200.9391926,1.189735285,0.085038672,13.99052044,1.78104E-44,1.97235E-43,CBR3,874,UP
ENSG00000236830,14.1934608,1.374781278,0.282218238,4.871341008,1.10843E-06,3.73606E-06,CBR3-AS1,100506428,UP
ENSG00000048342,321.5822722,-1.184270518,0.066053755,-17.92889008,7.01664E-72,1.16364E-70,CC2D2A,57545,DOWN
ENSG00000150636,17.34164259,-1.928221305,0.327660474,-5.884815092,3.98499E-09,1.57155E-08,CCDC102B,79839,DOWN
ENSG00000176714,41.1575193,-1.566505628,0.206523452,-7.585122238,3.32174E-14,1.6793E-13,CCDC121,79635,DOWN
ENSG00000244607,9.503563453,1.565275642,0.388965273,4.024204091,5.71683E-05,0.00016803,CCDC13,152206,UP
ENSG00000198865,13.69138204,-1.708017481,0.348365896,-4.902941134,9.44123E-07,3.20028E-06,CCDC152,100129792,DOWN
ENSG00000120262,17.90627098,1.36822166,0.273384892,5.004744958,5.5936E-07,1.9279E-06,CCDC170,80129,UP
ENSG00000166960,12.53851231,-4.794982478,0.684348649,-7.006636874,2.44115E-12,1.13537E-11,CCDC178,374864,DOWN
ENSG00000197816,13.38873733,-1.971034434,0.382116045,-5.158209035,2.49323E-07,8.81333E-07,CCDC180,100499483,DOWN
ENSG00000213213,12.03529394,-1.576113972,0.362568353,-4.347080929,1.37961E-05,4.27208E-05,CCDC183,84960,DOWN
ENSG00000177875,7.855167055,1.957164534,0.443256395,4.415423123,1.00813E-05,3.15444E-05,CCDC184,387856,UP
ENSG00000234409,248.6245248,-1.185849325,0.076326972,-15.53643876,1.9661E-54,2.58917E-53,CCDC188,388849,DOWN
ENSG00000269720,4.381776164,2.267518254,0.626232246,3.620890281,0.000293591,0.000805728,CCDC194,110806280,UP
ENSG00000186409,8.86731326,-1.458581769,0.395508357,-3.687865864,0.000226143,0.000629556,CCDC30,728621,DOWN
ENSG00000182791,9.077607419,1.072081869,0.404206928,2.652309488,0.007994323,0.018183906,CCDC87,55231,UP
ENSG00000015133,816.2756609,-1.626011177,0.057500247,-28.27833375,6.3838E-176,2.6759E-174,CCDC88C,440193,DOWN
ENSG00000185972,11.1328356,2.90632654,0.419111175,6.934500234,4.0766E-12,1.87312E-11,CCIN,881,UP
ENSG00000276409,172.5104207,-6.255901976,0.310702639,-20.13469209,3.66584E-90,7.60195E-89,CCL14,6358,DOWN
