"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","original_leidenID","degreeCentrality","degree_ratio","betweennessCentrality","betweenness_ratio","closenessCentrality","eigenvectorCentrality","VEGFA","TNF.IL6","TGFB1.2","F2.Thrombin.","GSE13592","intersect_count","Average.NX..all.except.retina.","NX..retina.","tissue_ratio","degree_ratio_percentile","betweenness_ratio_percentile","tissue_ratio_percentile"
"106","GIMAP4","3801.76844376502","-2.10510248553844","0.0413537345538508","-50.9047733717295","0","0","55303","DOWN",9,2,0.25,0,0,0.252345519,0.001420164,0,1,1,1,1,3,15.3770491803279,6.8,0.442217484,93.5015772870663,10.1892744479495,37.7260981912145
"107","GIPC2","238.739139311495","-3.33797784948628","0.113895713759305","-29.3073175390989","8.36756095936329e-189","3.79742444384643e-187","54810","DOWN",23,2,0.035714286,0,0,0.24375,0.000687237,0,1,1,1,1,3,5.28360655737705,1.5,0.28389699,5.77287066246057,10.1892744479495,24.80620155
"108","GJA1","10148.9667012578","1.32667937733693","0.0203240451729387","65.2763446473438","0","0","2697","UP",1,108,0.093913043,15452.40816,24.17550415,0.359944624,0.145646072,0,0,0,0,1,0,23.855737704918,26.3,1.102460143,43.7854889589905,53.8170347003155,78.1007751937985
"109","GJA4","27.7146498960671","-4.86745197692738","0.542099722690878","-8.97888667562176","2.7352031774995e-19","1.66661657076712e-18","2701","DOWN",22,4,0.25,86.05441019,318.8679556,0.251531764,0.001413209,0,0,1,1,1,2,9.31803278688524,13.3,1.427339901,93.5015772870663,96.9085173501577,85.8527131782946
"110","GNG5","1614.85685968236","1.21055400836256","0.0363928997408004","33.2634666922516","1.30386314594519e-242","8.31618010301635e-241","2787","UP",9,16,0.105263158,1341.416207,99.7800092,0.290719344,0.006093656,0,1,1,1,1,3,38.3377049180328,20.9,0.545155221,51.0725552050473,87.9495268138801,45.6072351421189
"111","GPIHBP1","104.57975867289","-6.24403576339068","0.385836256412506","-16.1831234354375","6.63418329263212e-59","9.31350931129241e-58","338328","DOWN",4,42,0.159090909,3045.340171,87.45395368,0.300693909,0.012752707,0,0,1,0,1,1,3.7125,1.1,0.296296296,77.5394321766561,85.8044164,25.7105943152455
"112","GPM6B","5.89853293639601","-1.26041221911797","0.549315997372856","-2.29451212989606","0.0217610991267635","0.0457170994651911","2824","DOWN",11,4,0.08,35.82452638,6.682478617,0.2268431,0.000649522,0,0,1,1,1,2,19.0065573770492,3.2,0.168362946,33.3123028391167,31.7350157728707,16.2790697674419
"113","GRK5","1705.479778364","-1.17385720056123","0.0354570436152414","-33.1064601239523","2.39921417741014e-240","1.49390647421377e-238","2869","DOWN",11,14,0.040229885,5264.792438,32.84551984,0.304568528,0.013637782,0,0,0,1,1,1,9.62950819672131,5.6,0.581545795,7.7602523659306,63.0283911671924,48.12661499
"114","GTF2B","270.769431087238","1.0435512038721","0.0698356392044488","14.9429605823043","1.73110185817725e-50","2.13550824626895e-49","2959","UP",2,22,0.088,4199.839718,92.50352764,0.327387198,0.019521597,0,1,0,1,1,2,25.983606557377,13.8,0.531104101,39.3059936908517,86.87697161,44.3152454780362
"115","HAPLN3","908.362212857865","1.84144629597112","0.0499486605273082","36.8667803406731","1.57489663046594e-297","1.30406966955669e-295","145864","UP",2,14,0.194444444,1588.075517,160.2797269,0.299022427,0.008900377,0,1,1,1,1,3,4.84918032786885,3.2,0.659905341,86.813880126183,93.3123028391167,53.7467700258398
