"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","original_leidenID","degreeCentrality","degree_ratio","betweennessCentrality","betweenness_ratio","closenessCentrality","eigenvectorCentrality","VEGFA","TNF.IL6","TGFB1.2","F2.Thrombin.","GSE13592","intersect_count","Average.NX..all.except.retina.","NX..retina.","tissue_ratio","degree_ratio_percentile","betweenness_ratio_percentile","tissue_ratio_percentile"
"163","LHX6","482.066773027275","-5.15321231428896","0.144644589881617","-35.6267200764755","5.4053573455759e-278","4.03674139234955e-276","26468","DOWN",15,10,0.089285714,232.0632356,10.30624152,0.282506338,0.006539758,0,0,0,1,1,1,3.68524590163934,1.4,0.379893238,39.8738170347003,36.9085173501577,32.9457364341085
"164","LIMS2","204.809560289814","-1.62914305789618","0.0966793024890634","-16.8510013617493","1.03153170171597e-63","1.54854431480885e-62","55679","DOWN",15,2,0.047619048,0,0,0.244744274,0.0007135,0,0,0,0,1,0,16.0622950819672,20.4,1.270055113,12.1135646687697,10.1892744479495,82.8811369509044
"165","LITAF","161.702888165847","1.33777545602923","0.0867031672412779","15.4293724046604","1.03875396332247e-53","1.35284518655888e-52","9516","UP",2,22,0.150684932,1897.421668,62.52146138,0.303561004,0.009897822,0,1,0,1,1,2,36.7393442622951,26,0.707688189,74.6372239747634,79.7476340694006,57.4935400516796
"166","LMO2","1028.83913950668","-1.64377891327575","0.0480589270346148","-34.2034043350948","2.15196255714808e-256","1.48491708731397e-254","4005","DOWN",15,32,0.06374502,5119.223636,23.24408426,0.307207562,0.00908832,0,0,0,0,1,0,9.3672131147541,14.6,1.558627931,21.0094637223975,53.0599369085173,88.1782945736434
"167","LMO7","646.577217047675","-1.51873546904377","0.0516895563646707","-29.3818631045904","9.36429419083034e-190","4.27442898664227e-188","4008","DOWN",9,18,0.049450549,2222.859889,25.91250268,0.315024233,0.01736351,0,1,1,1,1,3,12.2311475409836,2.7,0.220747889,13.1545741324921,56.0883280757098,20.671834625323
"168","LPCAT2","1708.41308830464","-1.00197658594494","0.0442898974647906","-22.6231407905492","2.56550879549807e-113","6.61676962458567e-112","54947","DOWN",22,26,0.164556962,1670.437999,101.2195632,0.327181208,0.028582878,0,0,1,0,1,1,11.1606557377049,5.1,0.456962397,78.8643533123028,88.3280757097792,38.6304909560724
"169","LRG1","19.9342343890591","4.84865801758899","0.398343933719768","12.1720393036033","4.38000860002636e-34","3.94217478840663e-33","116844","UP",11,2,0.1,0,0,0.23465704,0.000414648,0,0,0,1,1,1,12.8147540983607,0.3,0.023410516,47.8864353312303,10.1892744479495,5.74935400516796
"170","MAFF","3353.78173413283","1.44446171233744","0.041675795925076","34.6594871261551","3.21446833482581e-263","2.26442502189714e-261","23764","UP",15,12,0.133333333,517.0374506,12.49662677,0.278969957,0.003591954,0,1,0,1,1,2,14.9655737704918,5.9,0.394238142,67.6656151419558,39.4952681388013,34.3023255813954
"171","MARCKSL1","4385.39333074472","-1.01173356023133","0.0389945956070433","-25.9454815335637","2.04483867206013e-148","7.10694371457245e-147","65108","DOWN",1,16,0.059701493,537.7787728,21.91912327,0.330578512,0.040503604,1,1,1,1,1,4,28.8262295081967,5.2,0.180391265,18.0441640378549,51.98738170347,16.9896640826873
"172","MMD","196.601854517303","1.63997455805492","0.0822886858014525","19.9295266667872","2.2568630260779e-88","4.57951079556427e-87","23531","UP",2,4,0.083333333,66.40223416,16.20104114,0.283275831,0.006290641,0,1,1,1,1,3,8.20983606557377,3.2,0.389776358,35.8044164037855,44.3533123028391,33.656330749354
"173","MMRN1","13127.6887662198","-2.20979448631964","0.0367629891845223","-60.1092167785418","0","0","22915","DOWN",11,2,0.043478261,0,0,0.197618444,2.6e-05,0,0,0,1,1,1,8.27377049180328,3.7,0.447196354,9.68454258675079,10.1892744479495,38.0490956072351
"174","MRC2","1779.83409474944","1.09588615444851","0.0420226274835726","26.0784777171992","6.39743528862236e-150","2.25332948322685e-148","9902","UP",4,14,0.104477612,977.4062282,44.52087776,0.32561052,0.025145187,0,0,1,0,1,1,11.5672131147541,35.1,3.034438776,50.5678233438486,70.7255520504732,96.3178294573643
"175","MSX1","155.981411993196","1.85371779350411","0.109425785171996","16.9404111708262","2.26535747686162e-64","3.43353700041474e-63","4487","UP",9,4,0.125,0,0,0.239815527,0.000630465,0,1,1,1,1,3,4.68524590163934,1.7,0.362841148,63.4069400630915,10.1892744479495,31.0723514211886
"176","MT1E","571.673648871683","2.96945874232696","0.117015610783922","25.376603364574","4.57185115275352e-142","1.49226992190637e-140","4493","UP",15,2,0.166666667,0,0,0.191036003,2.05e-05,0,1,1,1,1,3,35.5573770491803,13.9,0.390917473,80.410094637224,10.1892744479495,33.7209302325581
"177","MT1M","7.06960546704531","2.61626383757006","0.480965299512088","5.43961038400089","5.33972168760434e-08","1.97202022074765e-07","4499","UP",15,8,0.25,1992.656884,302.4987792,0.236113213,0.000513843,0,0,0,1,1,1,16.255737704918,3.5,0.215308592,93.5015772870663,96.782334384858,20.0258397932817
"178","MT1X","56.7100687611672","3.29448214619184","0.180081186271535","18.2944271658909","9.16595056328006e-75","1.58235016344438e-73","4501","UP",2,8,0.19047619,181.4614222,61.94701294,0.251978679,0.001255133,0,1,1,1,1,3,48.6049180327869,8.2,0.168707208,86.2460567823344,79.4952681388013,16.343669250646
"179","MT2A","10085.8302546001","3.85632635669508","0.0774384631378465","49.7985910416445","0","0","4502","UP",2,2,0.029411765,0,0,0.264093448,0.002321722,0,1,1,1,1,3,50.2573770491803,15.9,0.316371465,3.34384858044164,10.1892744479495,27.3255813953488
"180","MTUS1","6106.823069288","-1.80996266240052","0.0431200734068036","-41.9749439043149","0","0","57509","DOWN",9,14,0.0875,439.8363381,5.180885902,0.287769784,0.004679405,0,1,0,1,1,2,21.0803278688525,10.3,0.488607201,39.0851735015773,29.2744479495268,40.8914728682171
"181","MX1","5015.05804502","5.12548029980777","0.433429863929129","11.8253972011625","2.88534690633349e-32","2.50889099640988e-31","4599","UP",23,12,0.113207547,522.955755,23.08184367,0.310077519,0.013034694,0,0,0,1,1,1,15.9016393442623,15.9,0.999896907,56.3406940063091,52.9337539432177,73.9664082687339
"182","MYO1E","3876.87700762934","1.65266391235207","0.0398742413267671","41.4469055049495","0","0","4643","UP",9,32,0.078817734,1978.278339,34.47960641,0.343158821,0.05663846,0,1,1,1,1,3,15.2180327868852,13,0.854249704,32.1451104100946,64.60567823,67.6356589147287
"183","NDRG1","2546.77322690353","1.30120850815673","0.0291531438879392","44.6335569555861","0","0","10397","UP",1,44,0.100456621,7043.265837,19.15805049,0.331844288,0.055663333,1,1,1,1,1,4,36.2655737704918,16.2,0.446704638,48.9589905362776,48.6435331230284,37.9198966408269
"184","NEDD9","997.436732239769","2.72502193045088","0.0426804408979992","63.8470895125787","0","0","4739","UP",2,18,0.116883117,2973.639381,102.9825868,0.305283757,0.010024134,0,1,0,0,1,1,14.1688524590164,12.8,0.903390027,58.4858044164038,88.4542586750789,70.2842377260982
"185","NFIA","316.825142540365","-1.24890530484234","0.0784560504480242","-15.9185339780737","4.71290605906245e-57","6.45126856657859e-56","4774","DOWN",15,28,0.074468085,2366.124424,29.70279061,0.299942319,0.008313065,0,0,0,0,1,0,18.2196721311475,16.4,0.900125967,28.2965299684543,60.6940063091483,70.1550387596899
"186","NFKBIA","1891.12823123436","2.94340444586832","0.0524104510109362","56.1606395116527","0","0","4792","UP",2,44,0.104761905,6069.448982,29.4408836,0.328628608,0.028138817,0,1,0,1,1,2,38.4409836065574,19.5,0.507271099,50.7255520504732,60.3154574132492,42.2480620155039
"187","NKX3-1","85.0311831358442","2.84173699172948","0.197333557203747","14.4006778775866","5.12384835108417e-47","5.9653526017383e-46","4824","UP",4,6,0.068181818,103.8847525,10.96466526,0.251978679,0.001114157,0,1,1,1,1,3,3.47213114754098,0.5,0.144003777,24.006309148265,37.981072555205,14.7286821705426
"188","NNMT","2012.74406281991","1.47212961161326","0.0350524751732557","41.9978790181544","0","0","4837","UP",2,4,0.153846154,48.74466161,91.4113789,0.284049527,0.004419959,0,1,1,1,1,3,7.28196721311475,1.6,0.219720846,75.8675078864353,86.5615142,20.6072351421189
"189","NOS3","1503.54199741475","-2.27826964066077","0.0438794758198056","-51.9210769521644","0","0","4846","DOWN",9,12,0.12,1952.94628,128.0369774,0.299137105,0.011759877,0,1,0,1,1,2,7.896721311,5.2,0.658501142,60.5993690851735,90.6624605678233,53.6175710594315
"190","NOSTRIN","9.22042905119196","-1.23377459975264","0.414707284643308","-2.97504925869294","0.00292941504053557","0.00711812865955509","115677","DOWN",9,2,0.090909091,0,0,0.230292294,0.000469732,0,1,1,1,1,3,9.25245901639344,2.8,0.302622254,41.2302839116719,10.1892744479495,26.2919896640827
"191","NPC1","2465.2995457217","1.41833547551442","0.0280767926386275","50.5162927179618","0","0","4864","UP",22,58,0.080555556,7142.651777,19.20236391,0.344522968,0.052175225,0,0,1,1,1,2,16.6098360655738,12,0.722463482,33.8170347003155,48.7697160883281,58.5917312661499
"192","NR3C1","662.693738678197","1.7041948606551","0.0464053804533051","36.7240790616926","3.01514180539682e-295","2.47063650922081e-293","2908","UP",9,156,0.051896208,59888.65464,1.096453654,0.373831776,0.062796439,0,0,0,1,1,1,17.6,14.2,0.806818182,14.2586750788644,22.2712933753943,64.3410852713178
"193","NR4A1","146.507361500575","2.36002445111781","0.11640040231951","20.2750540727491","2.13557088985668e-91","4.47578485166321e-90","3164","UP",2,32,0.078817734,4303.240796,15.92922041,0.333048676,0.023783556,0,1,0,1,1,2,33.7819672131148,43.7,1.293589557,32.1451104100946,43.9116719242902,83.5271317829457
"194","NRGN","1009.87735878946","-1.52266738769908","0.0463569441474678","-32.8465867563502","1.27428756976916e-236","7.77051998940113e-235","4900","DOWN",2,2,0.066666667,0,0,0.19880209,4.17e-05,0,1,1,1,1,3,13.4098360655738,0,0,22.9968454258675,10.1892744479495,2.39018087855297
"195","NTN4","7633.19084452326","-2.40193753066168","0.0470127668379329","-51.0911757000366","0","0","59277","DOWN",15,4,0.1,0,0,0.26113157,0.001544037,0,0,0,0,1,0,9.6344262295082,8.4,0.871873405,47.8864353312303,10.1892744479495,68.8630490956072
"196","NUDT4","5702.47217231033","-1.32756860894547","0.0304497506873199","-43.5986692494763","0","0","11163","DOWN",2,2,0.071428571,0,0,0.260434057,0.002467637,0,1,1,1,1,3,19.1229508196721,25.1,1.312558937,26.4668769716088,10.1892744479495,83.9147286821705
"197","OCIAD2","1155.79149281941","2.33969523900753","0.043739950412577","53.4910354707391","0","0","132299","UP",9,12,0.083333333,970.1668975,24.51910704,0.315151515,0.01571752,0,0,1,1,1,2,15.3098360655738,6.6,0.431095406,35.8044164037855,54.384858044164,36.6279069767442
"198","OCLN","131.087037419184","-1.31425398921625","0.123130722004973","-10.6736480369471","1.35211379668232e-26","1.02074643275451e-25","100506658","DOWN",1,134,0.135080645,21700.37769,58.84431178,0.380302292,0.195184344,0,0,0,0,1,0,8.070491803,7.7,0.954093033,68.5804416403786,78.5488958990536,72.2222222222222
"199","OPTN","5309.65250500908","1.07944879113593","0.0290421153160713","37.1683942229437","2.21214103769605e-302","1.88463235915484e-300","10133","UP",2,56,0.064965197,8884.461415,11.47442674,0.343915344,0.039905661,0,1,1,1,1,3,15.9868852459016,5.8,0.362797375,21.8927444794953,38.3596214511041,30.9431524547804
"200","PALLD","1337.75085695581","2.03135210389211","0.0400879458159698","50.6723919758164","0","0","23022","UP",4,28,0.115702479,2365.439481,73.02451215,0.336279371,0.030848805,1,1,1,1,1,4,25.9901639344262,9.2,0.353980068,58.01261829653,82.4605678233439,29.9741602067183
"201","PALMD","2630.26897864481","-1.0040327367296","0.0625378499211838","-16.0548010204217","5.29083196020273e-58","7.36193062669954e-57","54873","DOWN",22,2,0.0625,0,0,0.247619048,0.001306084,0,1,1,1,1,3,12.0606557377049,7.9,0.655022428,19.8422712933754,10.1892744479495,53.2299741602067
"202","PARP14","3604.4124310913","1.99412329518528","0.0797654440707579","24.9998394469709","6.13802003515598e-138","1.93134846412861e-136","54625","UP",2,10,0.131578947,166.2266195,20.71373854,0.305044975,0.012284598,0,1,0,1,1,2,10.6426229508197,7.5,0.704713494,66.813880126183,50.7255520504732,57.1705426356589
"203","PCDH12","1934.95977699642","-1.86531833969598","0.0836334089610625","-22.3035072092353","3.41646967067881e-110","8.56804120705092e-109","51294","DOWN",1,16,0.4,1000.476642,914.1817136,0.278870218,0.007511388,0,1,1,1,1,3,2.1,NA,NA,98.5173501577287,99.3059936908517,NA
"204","PDE4B","2320.36176822969","1.2169682118738","0.0379521166978231","32.0658850615204","1.31863787004587e-225","7.60844378856049e-224","5142","UP",9,16,0.123076923,1302.732365,267.5926086,0.298621746,0.013017286,0,1,0,1,1,2,13.9934426229508,6.6,0.471649485,62.1766561514196,96.1514195583596,39.6640826873385
"205","PDGFA","924.79433312011","2.69603360000189","0.0560771846153954","48.0771925069456","0","0","5154","UP",6,10,0.185185185,469.2436756,64.69222661,0.271493213,0.003539057,0,0,0,0,1,0,13.63442623,7.4,0.542743778,85.4258675078864,80.1892744479495,45.3488372093023
"206","PDGFB","5194.67020570658","1.91712593927232","0.0292282895038069","65.5914517003337","0","0","5155","UP",6,18,0.105882353,1948.792862,128.9295521,0.286343612,0.007308702,0,0,0,0,1,0,8.44918032786885,12.1,1.432091579,51.5457413249211,90.72555205,85.9819121447028
"207","PDLIM4","1376.7773598775","1.39255744776835","0.0453197728055654","30.727370451366","2.45337671419677e-207","1.26967625171776e-205","8572","UP",2,2,0.047619048,0,0,0.281283808,0.004043577,0,1,1,1,1,3,11.8098360655738,9.6,0.812881732,12.1135646687697,10.1892744479495,64.9870801033592
"208","PDLIM5","4489.46413361752","1.3320929025664","0.0308056733900781","43.2418043812489","0","0","10611","UP",2,38,0.097435897,3987.587062,36.3270486,0.347206766,0.041579055,0,1,1,1,1,3,14.83278689,12.6,0.849469496,45.8675078864353,66.2460567823344,67.0542635658915
"209","PER1","609.819664855476","1.65027046142723","0.0449799983595691","36.6889844733876","1.09441181274492e-294","8.87526610617434e-293","5187","UP",9,10,0.058823529,85.16076324,2.082268569,0.26249369,0.002081753,0,1,0,0,1,1,21.5426229508197,36.6,1.698957461,17.4763406940063,23.9747634069401,89.6640826873385
"210","PIK3IP1","525.700974533777","1.81431980868278","0.0581586346931865","31.1960522844827","1.20523902850469e-213","6.52349445726657e-212","113791","UP",22,4,0.1,3.562846655,1.970117615,0.259826782,0.004818079,0,0,1,1,1,2,19.8311475409836,13.3,0.670662148,47.8864353312303,23.9116719242902,54.7803617571059
"211","PIK3R3","362.996144782055","-1.22646545723747","0.0671938907028638","-18.2526334523623","1.97171320348752e-74","3.38649635291863e-73","8503","DOWN",4,54,0.137755102,9402.282603,49.33528822,0.327249843,0.022035769,0,0,1,1,1,2,9.686885246,13.6,1.403960061,69.40063091,73.88012618,85.594315245478
"212","PLA2G4C","1453.48479950443","3.65982888208754","0.0491202026289895","74.5076096230841","0","0","8605","UP",10,2,0.083333333,0,0,0.233218717,0.000381509,0,0,0,0,1,0,8.15081967213115,5.4,0.662510056,35.8044164037855,10.1892744479495,54.0697674418605
"213","PLAT","3705.18780896877","1.71871040823104","0.043703490804115","39.3266161720246","0","0","5327","UP",4,26,0.240740741,4141.511785,214.5356818,0.312562613,0.015502366,0,0,1,1,1,2,14.0131147540984,39.4,2.811651848,92.3659305993691,95.4574132492114,96.1240310077519
"214","PLSCR1","1457.15778647145","1.74168615881429","0.109798626073714","15.8625496610949","1.15123641712293e-56","1.56497858339194e-55","5359","UP",15,40,0.114942529,8166.509975,42.48826672,0.324526732,0.018663621,0,0,0,1,1,1,23.5639344262295,12.6,0.534715458,57.2555205047319,69.7791798107256,44.8320413436692
"215","PMEPA1","649.842263710766","1.94418326386515","0.0540553206928034","35.9665475839825","2.7903208352408e-283","2.13794744775479e-281","56937","UP",11,2,0.019230769,0,0,0.219594595,0.0001484,0,0,1,1,1,2,10.4,21.3,2.048076923,0.441640378548896,10.1892744479495,92.8940568475452
"216","PNP","3780.88460958038","1.43600040954161","0.0271513214981991","52.8887851604889","0","0","4860","UP",2,14,0.084337349,441.8842321,18.45488394,0.308239478,0.013916714,0,1,1,1,1,3,18.0672131147541,3.8,0.210325742,36.8769716088328,47.6340694006309,19.250645994832
"217","PPP1R14A","5.07604820797489","-2.81983894083933","0.763078641999671","-3.69534512648638","0.00021958830077821","0.000612175346729472","94274","DOWN",9,4,0.090909091,12.57776261,0.207024176,0.252836305,0.001217073,0,1,0,1,1,2,23.1065573770492,4.4,0.190422136,41.2302839116719,20.7570977917981,18.0232558139535
"218","PPP1R16B","2613.90802343351","-1.81734433400239","0.0655530610975447","-27.7232566042664","3.66212083816348e-169","1.47730580615077e-167","26051","DOWN",15,12,0.090909091,1958.790468,97.90938647,0.284153005,0.009042352,0,0,0,1,1,1,9.42131147540984,1.6,0.169827736,41.2302839116719,87.6971608832808,16.5374677
"219","PRCP","8464.454137072","1.43243163796705","0.0279949794050723","51.1674474640805","0","0","5547","UP",9,6,0.065217391,76.38471704,13.34628456,0.279670133,0.003886227,0,1,1,1,1,3,29.3426229508197,25.1,0.855410917,22.1135646687697,40.8201892744479,67.8940568475452
"220","PRKAR2B","2107.88066882563","-1.68553671045202","0.044340007497431","-38.0139022427924","0","0","5577","DOWN",9,16,0.0625,938.7002197,10.3572023,0.279069767,0.004410933,0,1,0,1,1,2,9.18196721311475,2.6,0.283163721,19.8422712933754,37.0347003154574,24.7416020671835
"221","PRKCH","2217.92562916823","-1.08174909009933","0.0282083791464417","-38.3485022121801","0","0","5583","DOWN",9,6,0.111111111,698.0918581,447.7866701,0.304747021,0.015211508,0,1,1,1,1,3,12.4901639344262,9.1,0.728573304,54.7634069400631,98.2334384858044,59.1731266149871
"222","PRRG4","30.096172364192","3.50193370143497","0.247135641191689","14.1700876674389","1.40325225731195e-45","1.58979116756143e-44","79056","UP",0,6,0.078947368,189.3251909,15.23294986,0.282762371,0.007278766,1,0,0,0,1,1,6.35573770491803,2.2,0.346143926,32.3343848580442,42.9022082018927,29.6511627906977
"223","PSMB8","1144.49273776203","1.1838658848902","0.0587428714064055","20.1533540418848","2.51484103739169e-90","5.22427232758861e-89","5696","UP",9,16,0.076190476,277.6197024,14.9910295,0.282659902,0.007156059,0,1,0,1,1,2,17.7327868852459,9.2,0.51881298,29.3375394321767,42.5867507886435,43.3462532299742
"224","PSMB9","567.487101321841","3.74130014249311","0.143207824134924","26.1249702318515","1.89759325481878e-150","6.73403055946895e-149","5698","UP",9,14,0.077777778,670.9315795,43.16767088,0.275132275,0.004634835,0,1,1,1,1,3,14.3098360655738,7.7,0.538091419,31.2302839116719,70.15772871,45.0904392764858
"225","PSME1","2208.80397703142","1.49334069229244","0.0389779648275822","38.3124336762627","0","0","5720","UP",9,18,0.034883721,721.2456081,5.455023615,0.309278351,0.013525149,0,1,0,1,1,2,48.5688524590164,28.4,0.584736895,5.36277602523659,29.7160883280757,48.2558139534884
"226","PSME2","1990.72663560809","1.85387568483445","0.0471067347287041","39.3547906793209","0","0","5721","UP",9,10,0.03875969,197.5795957,3.04941365,0.282250769,0.006850897,0,1,1,1,1,3,30.30327869,14.3,0.471896132,6.84542586750789,25.993690851735,39.7286821705426
"227","PTGIS","28.1271692443252","1.12160342882942","0.225692726504229","4.96960378919611","6.70898515641362e-07","2.29956921868126e-06","5740","UP",1,4,0.333333333,0,0,0.284567676,0.010279119,0,1,1,1,1,3,10.4,3.2,0.307692308,97.192429022082,10.1892744479495,26.6795865633075
"228","PTGS2","1376.37040473137","6.58446953286207","0.125947815281419","52.2793469513519","0","0","5743","UP",1,10,0.119047619,248.9938555,1.244562574,0.304034301,0.017390073,0,1,1,1,1,3,15.5262295081967,3.9,0.251187837,60,22.5236593059937,22.8682170542636
"229","RAMP2","180.107923033016","-1.97104600310892","0.125509325514345","-15.7043788979938","1.41153321008127e-55","1.88836577237573e-54","10266","DOWN",22,14,0.093333333,228.6502134,10.67107284,0.273204904,0.00352664,0,0,1,1,1,2,15.0426229508197,71.1,4.726569311,43.0283911671924,37.602523659306,98.1912144702842
"230","RASA4","14.2125784023528","1.74219213831079","0.308064525854077","5.65528320237699","1.55589509795437e-08","5.93079767672835e-08","10156","UP",4,2,0.2,0,0,0.275083759,0.005487096,0,1,1,1,1,3,4.55490196078431,NA,NA,88.2649842271293,10.1892744479495,NA
"231","RASGRF2","89.625120584774","1.36113562314165","0.113548769424304","11.9872335917215","4.14518649462472e-33","3.66101257809314e-32","5924","UP",9,2,0.043478261,0,0,0.210441117,0.000128744,0,1,1,1,1,3,5.23934426229508,17.1,3.263767209,9.68454258675079,10.1892744479495,96.7700258397933
"232","RFK","1646.12956783548","-1.07229494590109","0.0359173018809491","-29.8545516992146","7.6622229615126e-196","3.67521950546211e-194","55312","DOWN",2,4,0.066666667,34.07860915,16.54500159,0.248091603,0.001002007,0,1,1,1,1,3,14.0377049180328,13.3,0.947448324,22.9968454258675,44.8580441640378,71.96382429
"233","RGCC","1792.5813165281","1.17974007544537","0.0979752411678445","12.0412061392563","2.15777484388588e-33","1.92155956757973e-32","28984","UP",2,2,0.090909091,0,0,0.267352185,0.002087314,0,1,1,1,1,3,18.9196721311475,16.1,0.850966121,41.2302839116719,10.1892744479495,67.1834625322997
"234","RGS16","6.30700315331498","4.2624154164695","0.58515659044046","7.28423038568375","3.23511757913323e-13","1.57348598000753e-12","6004","UP",9,4,0.133333333,19.54579578,17.84517105,0.261964736,0.001873408,0,1,1,1,1,3,9.009836066,9.1,1.010007278,67.6656151419558,46.9400630914826,74.2894056847545
"235","RHOB","15589.5521083158","1.35574793058251","0.0233778187001813","57.9929183286886","0","0","388","UP",1,210,0.125899281,54710.97954,56.723715,0.388639761,0.22398989,0,0,0,0,1,0,45.9459016393443,32.2,0.700824205,64.2902208201893,77.2870662460568,56.9767441860465
"236","RND1","349.942760680543","6.22339676624303","0.186735295675973","33.3273725447277","1.54995905621879e-243","9.96661683043792e-242","27289","UP",1,56,0.116182573,4175.233985,26.65395061,0.332764505,0.098080761,0,0,1,0,1,1,4.51147540983607,1,0.221656977,58.1703470031546,56.782334384858,20.9302325581395
"237","RNF213","5081.89394218006","1.4672177087889","0.0959037684580274","15.2988535526738","7.78152916097176e-53","9.99653275284554e-52","57674","UP",22,30,0.098039216,2934.063861,33.59383701,0.338248049,0.036992822,1,1,1,1,1,4,12.86721311,12.3,0.955917951,46.2776025236593,63.7854889589905,72.4806201550387
"238","RPH3AL","83.9889823584851","-1.11652989788022","0.141862885897446","-7.87048628552058","3.53265393598711e-15","1.84808468710618e-14","9501","DOWN",2,2,0.045454545,0,0,0.23798627,0.000381454,0,1,1,1,1,3,5.21803278688525,3.7,0.709079485,10.7570977917981,10.1892744479495,57.7519379844961
"239","RRAD","68.6844790680149","5.96514423013706","0.327057403886819","18.2388295120246","2.53835917698435e-74","4.3533966727946e-73","6236","UP",10,2,0.052631579,0,0,0.234445446,0.00063551,0,1,1,1,1,3,8.05081967213115,3.9,0.484422724,14.47949527,10.1892744479495,40.4392764857881
"240","RSPO3","8.59414717894398","2.86503758014779","0.466175880882455","6.14582971286367","7.95465889802749e-10","3.24161622059317e-09","84870","UP",11,2,0.166666667,0,0,0.230088496,0.000323177,0,0,1,1,1,2,8.85409836065574,8.6,0.971301611,80.410094637224,10.1892744479495,73.32041344
"241","RUNX1T1","412.315501315485","-3.01857526336536","0.0828577769529457","-36.4308019641848","1.38548888672158e-290","1.09351679724892e-288","862","DOWN",2,30,0.129310345,3827.423292,27.56383263,0.304330862,0.007435262,0,1,0,1,1,2,5.66065573770492,5.3,0.936287286,65.4258675078864,57.8548895899054,71.5762273901809
"242","S100A10","6023.49840162485","-1.79300682799949","0.0311525118372887","-57.5557706988274","0","0","6281","DOWN",10,28,0.115702479,7105.896183,27.81994991,0.304093567,0.009548048,0,0,0,0,1,0,22.0491803278689,9.5,0.430855019,58.01261829653,58.3596214511041,36.5633074935401
"243","SAT1","5450.76478455226","1.99061172965473","0.0355604466383717","55.9782544324612","0","0","6303","UP",15,12,0.060606061,529.3342265,6.839705685,0.261701057,0.001392678,0,0,0,1,1,1,63.8770491803279,39.3,0.61524445,18.3280757097792,32.1135646687697,50.4521963824289
"244","SEMA3A","36.0479502850622","-1.23752674308284","0.224891050635171","-5.50278341262416","3.73841577093185e-08","1.39372628401612e-07","10371","DOWN",4,2,0.111111111,0,0,0.245398773,0.000823791,0,0,1,0,1,1,4.68688524590164,8.2,1.749562784,54.7634069400631,10.1892744479495,90.5038759689922
"245","SEMA3D","564.512265910502","3.44222311749473","0.0629575349479379","54.6753159942053","0","0","223117","UP",4,4,0.4,0,0,0.272061388,0.00366332,0,0,1,1,1,2,3.71803278688524,2.6,0.699294533,98.5173501577287,10.1892744479495,56.8475452196382
"246","SEMA4A","38.652286237783","1.35050979983761","0.198647020579074","6.7985404256291","1.05684359585805e-11","4.75509094731252e-11","64218","UP",4,2,0.1,0,0,0.219162686,0.000179271,0,1,1,1,1,3,11.0786885245902,24.6,2.220479432,47.8864353312303,10.1892744479495,93.9276485788114
"247","SEMA6B","10333.2269168674","-1.04645009162654","0.0308037254084776","-33.9715433036078","5.86482190093983e-253","3.95439805829369e-251","10501","DOWN",4,14,0.170731707,231.4476567,39.09310164,0.28032345,0.009648598,0,0,1,0,1,1,7.8327868852459,2.7,0.344704897,82.4290220820189,68.01261829653,29.4573643410853
"248","SERPINE1","132950.208966544","2.61200064769956","0.0267637399148004","97.5947552925936","0","0","5054","UP",4,10,0.108695652,221.3279183,16.73645112,0.262758969,0.002057939,0,0,1,1,1,2,14.8803278688525,2.3,0.154566487,52.8391167192429,45.0473186119874,15.2454780361757
"249","SERPINE2","366.900672780922","2.56623553060917","0.0704515010151048","36.4255621758714","1.67711096554988e-290","1.31927138920039e-288","5270","UP",4,20,0.208333333,1187.184401,41.48238616,0.323987539,0.018770098,0,0,1,0,1,1,15.1950819672131,4.9,0.322472759,89.71608833,69.3375394321767,27.8423772609819
"250","SERTAD1","353.230534947042","1.3361957847383","0.0739950389939631","18.0579104073087","6.83617910676205e-73","1.14823480954077e-71","29950","UP",2,4,0.026666667,0,0,0.271445972,0.002572547,0,1,1,1,1,3,11.1819672131148,5.8,0.518692274,2.20820189274448,10.1892744479495,43.28165374677
"251","SGK1","1410.89022198137","2.60636220288469","0.073069087231671","35.6698338740845","1.16096370263361e-278","8.75322121995223e-277","6446","UP",11,6,0.042857143,127.0259558,0.828662955,0.254527655,0.002380847,0,1,0,1,1,2,27.5245901639344,45.8,1.663966647,9.17981072555205,21.7034700315457,89.2118863049096
"252","SHE","1906.5908332228","-1.83726051002179","0.0373682868469927","-49.1663029012968","0","0","126669","DOWN",9,2,0.142857143,0,0,0.217968423,0.000146349,0,1,1,1,1,3,7.196721311,5,0.69476082,71.5772870662461,10.1892744479495,56.5245478036176
"253","SKIL","1440.9096450393","1.40291397062239","0.0467688701438432","29.9967471163525","1.08204845097395e-197","5.27588045341618e-196","6498","UP",4,28,0.130841121,2784.416153,50.75731284,0.313253012,0.013849517,0,1,1,1,1,3,14.2918032786885,14.8,1.035558614,66.4668769716088,74.7634069400631,75.5167958656331
"254","SLC35G2","251.099829969989","1.04380947953048","0.0794906607495472","13.1312215760695","2.18109446348708e-39","2.19028290399283e-38","80723","UP",4,2,0.041666667,0,0,0.261964736,0.00197933,0,1,1,1,1,3,7.29836065573771,3.2,0.438454627,8.67507886435331,10.1892744479495,37.40310078
