"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000225886",31.5344625091663,-1.32928117946961,0.43661185653977,-3.04453752127671,0.00233038359347273,0.0350069203631171,NA,NA,"DOWN"
"ENSG00000137959",1374.2021616554,-1.4325813899441,0.441979249032681,-3.24128653795276,0.00118991513050304,0.0212177090652848,"IFI44L","10964","DOWN"
"ENSG00000162882",14.4770683826096,2.6694174948386,0.889221783634468,3.00197042399033,0.00268238235297662,0.0383940171017807,"HAAO","23498","UP"
"ENSG00000103888",31.110174600011,1.15268339217457,0.250124063771366,4.60844660363515,0.00000405688528051843,0.00021831703579348,"CEMIP","57214","UP"
"ENSG00000204278",18.2379854316414,1.25395204379775,0.261229259747613,4.80019751619424,0.00000158509220408126,0.0000995810867034581,"TMEM235","283999","UP"
"ENSG00000184557",502.349421203347,1.47270100522124,0.0606082407596944,24.2986925005851,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202371108460499,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280972046986557,"SOCS3","9021","UP"
"ENSG00000105639",222.670672481651,1.60287141285732,0.1394857364805,11.4912926102763,0.00000000000000000000000000000145912116463305,0.00000000000000000000000000253230478122065,"JAK3","3718","UP"
"ENSG00000157601",5015.05804502,-1.35900311875603,0.435943974482193,-3.11738021008372,0.00182466082789025,0.0291861646710002,"MX1","4599","DOWN"
