gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
MAN1A1,1.10E-20,0.583486347,0.522,0.122,2.41E-16,0.4
MFSD2A,1.41E-20,-1.09663795,0,0.417,3.08E-16,-0.417
ARL4A,1.69E-20,0.71802563,0.748,0.346,3.68E-16,0.402
RPL10,1.98E-20,0.510888632,1,0.913,4.33E-16,0.087
RPS18,2.21E-20,0.546089162,0.975,0.854,4.82E-16,0.121
RPL23A,2.71E-20,0.536540714,0.975,0.728,5.93E-16,0.247
PKHD1L1,3.04E-20,0.480643837,0.34,0.016,6.65E-16,0.324
ANXA2,3.92E-20,0.952393087,0.912,0.594,8.57E-16,0.318
HSPA2,4.20E-20,0.601744489,0.535,0.134,9.18E-16,0.401
RPL13,7.65E-20,0.468368412,0.987,0.921,1.67E-15,0.066
TSPAN18,9.06E-20,0.417477407,0.333,0.016,1.98E-15,0.317
RPS25,1.19E-19,0.499186644,0.975,0.752,2.60E-15,0.223
SOCS3,1.25E-19,1.085411627,0.673,0.272,2.74E-15,0.401
MEIS2,1.32E-19,0.353822037,0.314,0.008,2.89E-15,0.306
PHACTR2,1.58E-19,0.539745764,0.535,0.134,3.46E-15,0.401
CTSC,1.78E-19,0.825149414,0.623,0.232,3.89E-15,0.391
HAPLN3,3.18E-19,0.5399161,0.465,0.094,6.95E-15,0.371
VCAN,3.54E-19,0.503532139,0.283,0,7.73E-15,0.283
EIF3E,4.32E-19,0.603067766,0.855,0.472,9.44E-15,0.383
RPL11,7.12E-19,0.450973492,0.975,0.854,1.56E-14,0.121
CDH13,9.62E-19,0.585514762,0.277,0,2.10E-14,0.277
SGMS2,9.98E-19,0.441549406,0.377,0.043,2.18E-14,0.334
RPL27A,1.14E-18,0.589684777,0.906,0.579,2.50E-14,0.327
ARID5B,1.23E-18,0.619638641,0.648,0.209,2.68E-14,0.439
IL1R1,1.49E-18,0.603832953,0.447,0.087,3.25E-14,0.36
COL3A1,1.75E-18,0.476757195,0.283,0.004,3.83E-14,0.279
THBS1,2.41E-18,0.583865901,0.308,0.016,5.27E-14,0.292
MT-ND5,3.63E-18,-0.848584936,0.893,0.835,7.93E-14,0.058
MT-ND2,4.06E-18,-0.862401272,0.912,0.906,8.87E-14,0.006
LRRC1,5.12E-18,0.347723277,0.277,0.004,1.12E-13,0.273
RPS15,5.71E-18,0.376424683,0.937,0.807,1.25E-13,0.13
ANGPT2,8.14E-18,-1.591349155,0.038,0.425,1.78E-13,-0.387
KLF4,1.15E-17,0.819431724,0.862,0.5,2.52E-13,0.362
RPS3A,1.30E-17,0.476760271,0.987,0.854,2.83E-13,0.133
PTRF,1.51E-17,0.707865044,0.786,0.469,3.30E-13,0.317
MT-ND3,1.76E-17,-0.879176582,0.912,0.945,3.85E-13,-0.033
PCDH17,1.80E-17,0.633598431,0.572,0.189,3.93E-13,0.383
ACTN1,2.12E-17,0.622515722,0.723,0.335,4.64E-13,0.388
HSPG2,2.51E-17,0.463230619,0.673,0.283,5.48E-13,0.39
EIF3L,2.80E-17,0.442002376,0.742,0.346,6.11E-13,0.396
RPL9,2.82E-17,0.445655469,0.962,0.827,6.16E-13,0.135
FAU,2.82E-17,0.416037189,0.962,0.736,6.17E-13,0.226
EMP1,3.04E-17,0.75349946,0.792,0.48,6.64E-13,0.312
CLEC3B,3.64E-17,0.558358144,0.459,0.102,7.96E-13,0.357
SH3BP5,3.81E-17,0.772673162,0.648,0.272,8.32E-13,0.376
RPL4,5.06E-17,0.490557081,0.912,0.626,1.11E-12,0.286
ABL2,5.28E-17,0.818107703,0.616,0.268,1.15E-12,0.348
ODC1,5.57E-17,0.610410617,0.604,0.228,1.22E-12,0.376
RGCC,5.96E-17,-1.035318512,0.73,0.819,1.30E-12,-0.089
PDE2A,6.07E-17,0.279092372,0.264,0.004,1.33E-12,0.26
RPL15,8.90E-17,0.386120665,0.975,0.819,1.95E-12,0.156
SEMA3A,9.37E-17,0.328044912,0.258,0.004,2.05E-12,0.254
CD9,9.44E-17,1.081201615,0.723,0.366,2.06E-12,0.357
DOK5,9.50E-17,0.413634697,0.384,0.063,2.08E-12,0.321
POMP,9.74E-17,-1.286654353,0.679,0.74,2.13E-12,-0.061
ARHGDIB,9.82E-17,0.523750872,0.717,0.311,2.15E-12,0.406
RAMP3,9.88E-17,0.741200302,0.83,0.488,2.16E-12,0.342
PLTP,1.65E-16,0.915703628,0.403,0.079,3.62E-12,0.324
SCARB1,1.68E-16,-0.806536116,0.006,0.358,3.68E-12,-0.352
SPNS2,2.32E-16,0.582466349,0.591,0.217,5.07E-12,0.374
PTP4A3,2.58E-16,-1.070342278,0.113,0.492,5.64E-12,-0.379
POLE4,2.66E-16,0.376490758,0.591,0.205,5.81E-12,0.386
RPL36,3.01E-16,0.500495499,0.956,0.732,6.57E-12,0.224
SCARA3,3.08E-16,0.314468934,0.264,0.008,6.73E-12,0.256
HMGN3,3.29E-16,0.353597246,0.717,0.339,7.19E-12,0.378
CPVL,3.36E-16,0.382030673,0.27,0.012,7.35E-12,0.258
CSF2RB,3.55E-16,0.268503651,0.239,0,7.75E-12,0.239
RPL26,4.31E-16,0.511300632,0.95,0.791,9.42E-12,0.159
ABCG2,4.49E-16,-1.385668123,0.22,0.555,9.82E-12,-0.335
2-Sep,4.71E-16,0.276235196,0.767,0.378,1.03E-11,0.389
PPDPF,4.96E-16,0.354728346,0.799,0.386,1.08E-11,0.413
PIK3C2A,4.98E-16,0.576428156,0.648,0.276,1.09E-11,0.372
FNIP2,6.74E-16,0.588796034,0.579,0.22,1.47E-11,0.359
FLT1,6.92E-16,-1.619506136,0.358,0.598,1.51E-11,-0.24
LPCAT2,9.35E-16,0.276374552,0.233,0,2.04E-11,0.233
C7,1.22E-15,0.463642629,0.252,0.008,2.67E-11,0.244
WARS,1.25E-15,0.464214775,0.635,0.268,2.74E-11,0.367
SLC7A5,2.03E-15,-1.019006759,0.057,0.406,4.45E-11,-0.349
PTGIS,2.05E-15,0.381336639,0.277,0.02,4.49E-11,0.257
SNTB2,2.19E-15,0.496894304,0.472,0.142,4.78E-11,0.33
RPL7,2.21E-15,0.518905631,0.931,0.732,4.83E-11,0.199
CD74,2.27E-15,0.678966785,0.893,0.575,4.97E-11,0.318
RPL39,2.31E-15,0.377855629,0.981,0.803,5.05E-11,0.178
INSR,2.38E-15,-1.554039474,0.264,0.571,5.21E-11,-0.307
DST,2.87E-15,0.207745745,0.579,0.213,6.28E-11,0.366
COMMD6,3.33E-15,0.3961511,0.799,0.441,7.28E-11,0.358
ATF3,3.94E-15,0.666536981,0.849,0.469,8.62E-11,0.38
RPL5,4.60E-15,0.420660463,0.975,0.791,1.01E-10,0.184
PRNP,4.60E-15,0.362966669,0.654,0.28,1.01E-10,0.374
RPL36A,4.97E-15,0.493151297,0.893,0.539,1.09E-10,0.354
CLDN11,5.03E-15,0.370521709,0.264,0.016,1.10E-10,0.248
RPS20,5.11E-15,0.409804273,0.899,0.594,1.12E-10,0.305
CNN3,6.05E-15,0.415760567,0.679,0.327,1.32E-10,0.352
MAP3K8,6.13E-15,0.385773641,0.585,0.236,1.34E-10,0.349
RPL10A,6.87E-15,0.420290581,0.943,0.768,1.50E-10,0.175
CXCL3,8.39E-15,0.780779053,0.346,0.055,1.83E-10,0.291
MPZL2,1.09E-14,0.490618295,0.635,0.276,2.38E-10,0.359
BMP2,1.19E-14,0.405992974,0.308,0.035,2.61E-10,0.273
SIVA1,1.28E-14,0.263886509,0.66,0.291,2.79E-10,0.369
C1orf21,1.31E-14,0.358557939,0.321,0.047,2.87E-10,0.274
TPT1,1.34E-14,0.376768171,0.994,0.965,2.93E-10,0.029
FAM134B,1.77E-14,0.23173596,0.226,0.004,3.86E-10,0.222
UGP2,1.90E-14,0.431869249,0.66,0.303,4.16E-10,0.357
MYOF,2.03E-14,0.674596362,0.497,0.165,4.45E-10,0.332
ELOVL7,2.07E-14,-0.831629671,0.057,0.402,4.52E-10,-0.345
TOMM7,2.29E-14,0.432836093,0.881,0.543,5.00E-10,0.338
FBL,3.37E-14,0.395311046,0.579,0.236,7.37E-10,0.343
CKB,3.55E-14,-1.386932297,0.044,0.366,7.76E-10,-0.322
SEMA3E,3.76E-14,0.229823416,0.252,0.016,8.22E-10,0.236
DKK3,3.87E-14,0.71021873,0.478,0.146,8.45E-10,0.332
RPS4Y1,4.10E-14,0.682331657,0.535,0.193,8.97E-10,0.342
NFKBIZ,4.44E-14,0.614360443,0.484,0.169,9.70E-10,0.315
LTBP3,4.53E-14,0.318305586,0.459,0.13,9.89E-10,0.329
TSPAN12,4.70E-14,0.475589379,0.308,0.043,1.03E-09,0.265
RP11-89K21.1,5.15E-14,0.226663152,0.22,0.004,1.13E-09,0.216
SLC39A14,5.26E-14,0.330374703,0.264,0.024,1.15E-09,0.24
MBNL1,5.88E-14,0.661482552,0.667,0.343,1.29E-09,0.324
PDLIM5,6.07E-14,0.323343832,0.642,0.311,1.33E-09,0.331
ID1,6.41E-14,1.006099066,0.673,0.323,1.40E-09,0.35
FOXO1,6.73E-14,0.498250599,0.591,0.252,1.47E-09,0.339
DSTN,7.23E-14,0.537191258,0.931,0.654,1.58E-09,0.277
F2R,7.67E-14,0.346346957,0.252,0.02,1.68E-09,0.232
TTR,8.30E-14,0.780942816,0.226,0.008,1.81E-09,0.218
FBN1,9.40E-14,0.218560634,0.214,0.004,2.06E-09,0.21
RDH10,9.82E-14,0.497948345,0.358,0.075,2.15E-09,0.283
RPL13A,9.92E-14,0.438917003,0.962,0.772,2.17E-09,0.19
RUNX1T1,1.09E-13,0.452350139,0.371,0.083,2.38E-09,0.288
RSPO3,1.12E-13,0.35818471,0.201,0,2.45E-09,0.201
STC1,1.17E-13,-1.46120525,0.302,0.594,2.55E-09,-0.292
RPS12,1.24E-13,0.32951542,0.975,0.909,2.72E-09,0.066
RPS11,1.45E-13,0.347592785,0.95,0.638,3.17E-09,0.312
SEC11A,1.45E-13,0.26265107,0.78,0.425,3.18E-09,0.355
LIFR,1.47E-13,0.435587342,0.491,0.181,3.22E-09,0.31
RPS5,1.51E-13,0.394031722,0.943,0.732,3.30E-09,0.211
ACKR4,1.52E-13,0.279821402,0.233,0.012,3.32E-09,0.221
SCN1B,1.58E-13,0.31231506,0.453,0.146,3.44E-09,0.307
NRGN,1.65E-13,0.461694967,0.296,0.043,3.60E-09,0.253
RBM3,1.69E-13,0.36636209,0.824,0.453,3.70E-09,0.371
RPS9,1.90E-13,0.360021805,0.981,0.819,4.15E-09,0.162
BSG,2.28E-13,-1.490364319,0.604,0.65,4.99E-09,-0.046
PTMS,2.64E-13,0.366293518,0.805,0.453,5.78E-09,0.352
CD14,2.74E-13,0.375554745,0.327,0.059,5.98E-09,0.268
ST3GAL1,2.85E-13,0.230998013,0.497,0.181,6.22E-09,0.316
COL8A1,3.05E-13,0.401812543,0.327,0.059,6.67E-09,0.268
RPL37A,3.21E-13,0.392248212,0.956,0.783,7.01E-09,0.173
