gene,original_leidenID,degreeCentrality,degree_ratio,betweennessCentrality,betweenness_ratio,closenessCentrality,eigenvectorCentrality,VEGFA,TNF-IL6,TGFB1/2,F2(Thrombin),GSE13592,intersect_count,Average NX (all except retina),NX (retina),tissue_ratio,degree_ratio_percentile,betweenness_ratio_percentile,tissue_ratio_percentile
MRC2,4,14,0.104477612,977.4062282,44.52087776,0.32561052,0.025145187,0,0,1,0,1,1,11.567213114754098,35.1,3.034438776,50.56782334384858,70.72555205047318,96.31782945736434
MT1M,15,8,0.25,1992.656884,302.4987792,0.236113213,0.000513843,0,0,0,1,1,1,16.255737704918033,3.5,0.215308592,93.50157728706625,96.78233438485805,20.025839793281655
MX1,23,12,0.113207547,522.955755,23.08184367,0.310077519,0.013034694,0,0,0,1,1,1,15.901639344262296,15.9,0.999896907,56.34069400630914,52.93375394321767,73.96640826873386
MYCN,11,82,0.03003663,16800.95454,7.941476893,0.342781806,0.041053752,0,0,0,1,0,1,3.1901639344262294,1.1,0.344809866,3.5962145110410093,33.81703470031546,29.521963824289404
MYD88,2,40,0.240963855,7756.216674,50.43994251,0.335917313,0.029834338,0,1,0,0,0,1,15.749180327868851,8.8,0.558759238,92.42902208201893,74.51104100946372,46.64082687338501
MYEOV,11,6,0.2,63.97955311,28.93724412,0.256325994,0.001400119,0,0,0,1,0,1,2.314754098360655,0.9,0.388810198,88.26498422712933,59.68454258675079,33.59173126614987
NCEH1,22,32,0.158415842,3016.997807,57.96369272,0.290394639,0.00986114,0,0,1,0,0,1,7.649180327868853,4.3,0.562151736,77.35015772870662,77.85488958990537,46.770025839793284
NEDD9,2,18,0.116883117,2973.639381,102.9825868,0.305283757,0.010024134,0,1,0,0,1,1,14.168852459016392,12.8,0.903390027,58.48580441640379,88.45425867507886,70.28423772609818
NEIL1,23,14,0.025547445,1658.094257,22.63185678,0.279469724,0.008869616,0,0,0,1,0,1,9.701639344262292,7.1,0.731835079,1.829652996845426,52.49211356466878,59.30232558139535
NGFR,2,26,0.224137931,2160.457684,84.51854976,0.32814472,0.029228071,0,1,0,0,0,1,9.109836065573772,20.2,2.21738348,91.29337539432176,85.23659305993691,93.86304909560724
NHLRC4,11,2,0.05,0,0,0.20545239,5.98e-05,0,0,0,1,0,1,2.916393442622951,2.1,0.720067454,13.470031545741326,10.189274447949527,58.39793281653747
NINJ1,22,6,0.136363636,221.3967569,10.99276794,0.299079755,0.009217296,0,0,0,1,0,1,23.06721311,24.6,1.066448724,68.92744479495269,38.04416403785489,76.80878552971576
NOD2,2,32,0.163265306,2029.604869,26.96724777,0.324189526,0.029263364,0,1,0,0,0,1,3.5426229508196725,1.2,0.338732068,78.48580441640378,57.223974763406936,28.811369509043928
NOG,6,4,0.048780488,71.59503574,18.6407905,0.224913495,0.000400801,0,0,0,1,0,1,2.6442622950819668,18.6,7.034097954,12.712933753943217,47.82334384858044,99.03100775193798
NR3C1,9,156,0.051896208,59888.65464,1.096453654,0.373831776,0.062796439,0,0,0,1,1,1,17.6,14.2,0.806818182,14.258675078864352,22.271293375394322,64.34108527131784
OLFM2,4,24,0.137931034,1678.058043,45.37018388,0.305224027,0.011780972,0,0,1,0,0,1,9.731147540983608,3.2,0.32884097,69.58990536277602,71.41955835962145,28.229974160206716
OPRD1,22,6,0.073170732,262.2435192,22.81490483,0.251369642,0.001387128,0,0,0,1,0,1,1.1311475409836065,0.1,0.088405797,27.50788643533123,52.74447949526814,10.20671834625323
OXER1,15,4,0.040816327,17.57148728,2.292617577,0.218885927,0.000151574,0,0,0,1,0,1,3.244262295081968,3.3,1.017180394,8.107255520504731,24.605678233438486,74.74160206718346
P2RX5,4,2,0.034482759,0,0,0.235365118,0.000664061,0,0,1,0,0,1,4.2918032786885245,0,0,5.078864353312302,10.189274447949527,2.3901808785529712
P4HA2,6,22,0.078014184,1760.856628,27.82720389,0.305702528,0.0116525,0,0,1,0,0,1,10.657377049180326,15.1,1.416858945,31.356466876971613,58.42271293375394,85.72351421188631
PANX1,1,54,0.095070423,3123.284496,41.33771453,0.334763948,0.096263805,0,0,1,0,0,1,9.832786885245904,3.9,0.396632211,44.03785488958991,69.08517350157729,34.366925064599485
PBX1,15,22,0.15942029,5773.451133,97.32527669,0.319606638,0.013835062,0,1,0,0,0,1,15.75737704918033,10.2,0.647315855,77.60252365930599,87.6340694,52.51937984496124
PCBP3,11,18,0.066176471,3656.084029,13.07019009,0.317266626,0.016409525,0,0,0,1,0,1,6.359016393442624,20.2,3.176591905,22.52365930599369,40.31545741324921,96.64082687338501
PDE1A,16,2,0.166666667,0,0,1,2.15e-27,0,0,0,1,0,1,7.939344262295083,3,0.37786496,80.41009463722398,10.189274447949527,32.68733850129199
PDE4DIP,11,34,0.085427136,7216.368184,29.59882114,0.314199396,0.014321778,0,0,0,1,0,1,13.10327868852459,7.2,0.549480796,37.72870662460568,60.44164038,45.80103359173127
PDGFRA,4,134,0.179624665,32195.23918,51.28717789,0.357798165,0.071078112,0,0,1,0,0,1,14.24590163934426,19.2,1.347756041,84.35331230283911,75.07886435,84.68992248062015
PER1,9,10,0.058823529,85.16076324,2.082268569,0.26249369,0.002081753,0,1,0,0,1,1,21.54262295081967,36.6,1.698957461,17.47634069400631,23.974763406940063,89.66408268733849
PHF11,11,24,0.088235294,1839.061132,49.94542796,0.289103039,0.004868566,0,0,0,1,0,1,21.65245901639344,12.7,0.586538462,39.526813880126184,74.1955836,48.44961240310077
PID1,15,4,0.074074074,157.9454953,2.949696272,0.249679898,0.000823999,0,0,1,0,0,1,14.32622950819672,17.9,1.24945646,27.854889589905362,25.741324921135643,82.04134366925064
PLA2G4A,10,6,0.050847458,218.2602265,16.02117015,0.248012719,0.000982601,0,0,0,1,0,1,7.973770491803277,2.9,0.363692434,13.753943217665615,44.03785488958991,31.20155039
PLAU,4,22,0.239130435,1548.70272,121.3857697,0.290232558,0.008255897,0,0,1,0,0,1,7.8213114754098365,4.5,0.575351079,92.17665615141955,90.15772870662461,47.73901808785529
PLAUR,4,28,0.11023622,1981.188058,28.83474213,0.301740812,0.011605969,0,0,1,0,0,1,13.559016393442624,4.6,0.339257647,53.40694006309148,59.55835962,28.940568475452196
PLEKHA4,9,240,0.040417649,92484.05407,8.457454509,0.399079048,0.155573403,0,0,0,1,0,1,8.618032786885246,12.5,1.450447023,7.886435331230284,34.25867507886436,86.24031007751938
PLSCR1,15,40,0.114942529,8166.509975,42.48826672,0.324526732,0.018663621,0,0,0,1,1,1,23.56393442622951,12.6,0.534715458,57.25552050473186,69.77917981072555,44.832041343669246
PLTP,4,10,0.094339623,163.9206064,18.6521618,0.288035451,0.008634118,0,0,1,0,0,1,28.19344262295082,36.4,1.291080358,43.84858044164038,47.88643533123028,83.39793281653746
POMGNT1,22,30,0.178571429,3450.706486,87.59253449,0.303089178,0.015593351,0,0,1,0,0,1,16.160655737704918,13,0.804422804,84.10094637223975,85.86750788643533,64.14728682170544
PPL,11,40,0.113636364,9335.887882,56.10660233,0.32967033,0.022112422,0,0,0,1,0,1,7.888524590163934,0.7,0.088736492,56.52996845425867,76.90851735015772,10.400516795865633
PPP1R16B,15,12,0.090909091,1958.790468,97.90938647,0.284153005,0.009042352,0,0,0,1,1,1,9.421311475409835,1.6,0.169827736,41.230283911671926,87.69716088328076,16.5374677
PRICKLE1,9,4,0.08,122.5677999,1.16976499,0.272393924,0.002565854,0,0,0,1,0,1,7.381967213114754,11.2,1.517210748,33.31230283911672,22.334384858044164,87.59689922480621
PRICKLE4,15,2,0.0625,0,0,0.223080223,0.000243465,0,0,0,1,0,1,3.164285714285714,2,0.632054176,19.842271293375394,10.189274447949527,51.48578811369509
PRRG4,0,6,0.078947368,189.3251909,15.23294986,0.282762371,0.007278766,1,0,0,0,1,1,6.355737704918034,2.2,0.346143926,32.33438485804416,42.90220820189275,29.651162790697676
PSCA,4,40,0.137931034,6317.454138,55.40659265,0.309954302,0.024347555,0,0,1,0,0,1,10.475409836065571,0.1,0.009546166,69.58990536277602,76.52996845425868,5.103359173126615
PTAFR,22,6,0.0625,103.3256344,7.418288118,0.269104709,0.003627812,0,0,0,1,0,1,6.773770491803278,0.6,0.08857696,19.842271293375394,33.05993690851735,10.335917312661499
PTCH1,4,74,0.138576779,8643.644547,29.40284455,0.328905756,0.047740232,0,0,1,0,0,1,6.755737704918032,11.2,1.657850036,69.84227129337539,60.18927444794953,89.14728682170544
PTPRK,4,50,0.148809524,7581.575826,73.56617047,0.339647289,0.041490318,0,0,1,0,0,1,13.80655737704918,3.9,0.282474472,73.75394321766562,82.71293375394322,24.67700258397933
PVR,22,40,0.12345679,5071.721916,22.87940333,0.319344933,0.029847455,0,0,1,0,0,1,9.470491803278687,6.6,0.696901506,62.397476340694006,52.80757097791798,56.58914728682171
RASGEF1B,9,2,0.1,0,0,0.259093174,0.002264997,0,0,0,1,0,1,9.370491803,6.1,0.650979706,47.88643533123028,10.189274447949527,52.71317829457365
RCAN2,11,6,0.130434783,62.08233353,31.24583094,0.246484437,0.000856222,0,0,0,1,0,1,14.57868852459016,27.9,1.91375239,66.02523659305993,61.76656151419559,91.73126615
REEP2,10,12,0.085714286,469.8387876,17.05068834,0.274696249,0.00515568,0,0,0,1,0,1,8.259016393442623,7.9,0.956530369,37.94952681388013,45.93059936908517,72.54521964
RIPK2,2,20,0.114942529,566.5295973,12.1136675,0.311004785,0.016461802,0,1,0,0,0,1,9.527868852459012,4.6,0.482794219,57.25552050473186,39.05362776025237,40.37467700258398
RIPPLY3,11,20,0.09009009,2449.131923,37.78584738,0.293398533,0.005221115,0,0,0,1,0,1,0.6442622950819672,2.8,4.34605598,40.18927444794952,67.25552050473186,97.86821705426357
RND1,1,56,0.116182573,4175.233985,26.65395061,0.332764505,0.098080761,0,0,1,0,1,1,4.511475409836065,1,0.221656977,58.170347003154575,56.782334384858046,20.930232558139537
RNF208,15,10,0.067567568,1566.505,9.141243994,0.272822665,0.002508558,0,0,0,1,0,1,4.590163934426229,1.8,0.392142857,23.59621451104101,35.26813880126183,33.78552971576227
SALL2,15,14,0.08045977,594.7323069,25.11796563,0.283430233,0.00384388,0,0,0,1,0,1,6.5983606557377055,4.3,0.651677019,33.753943217665615,54.952681388012614,52.77777777777778
SAT1,15,12,0.060606061,529.3342265,6.839705685,0.261701057,0.001392678,0,0,0,1,1,1,63.87704918032786,39.3,0.61524445,18.328075709779178,32.11356466876972,50.45219638242894
SAV1,9,28,0.092715232,5953.528348,89.68679803,0.30344291,0.01265362,0,0,0,1,0,1,16.531147540983607,18.6,1.12514875,42.64984227129337,86.24605678233438,78.87596899224806
SCG5,10,4,0.086956522,27.54662925,4.838244157,0.236220472,0.000462736,0,0,0,1,0,1,12.18688524590164,15.4,1.263653484,38.548895899053626,28.895899053627762,82.62273901808786
SCNN1B,11,6,0.15,141.4175356,86.14825845,0.258964143,0.001446101,0,0,0,1,0,1,6.842622950819672,0.5,0.073071394,74.1955836,85.48895899053628,8.914728682170542
SEC31B,9,4,0.1,36.40196593,12.82381647,0.276301807,0.003107813,0,0,0,1,0,1,3.6311475409836063,6.1,1.679909707,47.88643533123028,39.81072555205047,89.47028423772609
SELE,11,4,0.117647059,55.3866534,57.97520275,0.265396393,0.001932901,0,0,0,1,0,1,6.085245901639345,4.3,0.706627155,59.24290221,77.91798107255521,57.29974160206718
SEMA3A,4,2,0.111111111,0,0,0.245398773,0.000823791,0,0,1,0,1,1,4.686885245901638,8.2,1.749562784,54.763406940063085,10.189274447949527,90.50387596899225
SEMA3C,4,20,0.192307692,4188.895537,205.3298806,0.325135473,0.020618541,0,0,1,0,0,1,11.79016393442623,27.4,2.323971079,86.59305993690852,95.14195583596215,94.70284237726099
SEMA6B,4,14,0.170731707,231.4476567,39.09310164,0.28032345,0.009648598,0,0,1,0,1,1,7.832786885245901,2.7,0.344704897,82.42902208201893,68.01261829652996,29.457364341085274
